Major,Grade,Result,MajorGroup
cdt,8.21,Pass,Non-IT
cdt,9.25,Pass,Non-IT
cdt,8.5,Pass,Non-IT
cdt,3.9,Fail,Non-IT
cdt,7.5,Pass,Non-IT
cdt,7.25,Pass,Non-IT
cdt,7.06,Pass,Non-IT
cdt,7.83,Pass,Non-IT
cdt,6.4,Pass,Non-IT
cdt,6.23,Pass,Non-IT
cdt,7.25,Pass,Non-IT
cdt,7.27,Pass,Non-IT
cdt,5.48,Pass,Non-IT
cdt,4.83,Fail,Non-IT
cdt,5.58,Pass,Non-IT
cdt,3.73,Fail,Non-IT
cdt,5.65,Pass,Non-IT
cdt,8.58,Pass,Non-IT
cdt,4.5,Fail,Non-IT
cdt,9.33,Pass,Non-IT
cdt,7.02,Pass,Non-IT
cdt,8.5,Pass,Non-IT
cdt,4.79,Fail,Non-IT
cdt,5.88,Pass,Non-IT
cdt,5.75,Pass,Non-IT
cdt,3.46,Fail,Non-IT
cdt,7.33,Pass,Non-IT
cdt,5.5,Pass,Non-IT
cdt,3.96,Fail,Non-IT
cdt,7.25,Pass,Non-IT
cdt,10.0,Pass,Non-IT
cdt,7.25,Pass,Non-IT
cdt,7.17,Pass,Non-IT
cdt,4.08,Fail,Non-IT
cdt,5.21,Pass,Non-IT
cdt,7.06,Pass,Non-IT
cdt,7.73,Pass,Non-IT
cdt,8.31,Pass,Non-IT
cdt,7.56,Pass,Non-IT
cdt,7.08,Pass,Non-IT
cdt,4.9,Fail,Non-IT
cdt,3.83,Fail,Non-IT
cdt,6.06,Pass,Non-IT
cdt,8.08,Pass,Non-IT
cdt,7.0,Pass,Non-IT
cdt,6.83,Pass,Non-IT
cdt,7.5,Pass,Non-IT
cdt,4.58,Fail,Non-IT
cdt,8.58,Pass,Non-IT
cnot,6.83,Pass,Non-IT
cdt,5.75,Pass,Non-IT
cdt,4.71,Fail,Non-IT
cdt,4.56,Fail,Non-IT
cdt,2.96,Fail,Non-IT
cdt,5.06,Pass,Non-IT
cdt,3.25,Fail,Non-IT
cdt,7.08,Pass,Non-IT
cdt,7.5,Pass,Non-IT
cdt,4.67,Fail,Non-IT
cdt,3.06,Fail,Non-IT
cdt,6.65,Pass,Non-IT
cdt,2.79,Fail,Non-IT
cdt,9.5,Pass,Non-IT
cdt,5.81,Pass,Non-IT
cdt,4.5,Fail,Non-IT
khhh,7.5,Pass,Non-IT
khhh,8.92,Pass,Non-IT
khhh,5.5,Pass,Non-IT
khhh,7.75,Pass,Non-IT
ckdl,4.92,Fail,Non-IT
khhh,5.79,Pass,Non-IT
khhh,7.0,Pass,Non-IT
khhh,6.52,Pass,Non-IT
